Game Number,Date,Winner,Home Team,Away Team,Roah Team Name,Lang Team Name,Stadium,Start Time,Pitching Difficulty,Hitting Difficulty,Roah Runs,Lang Runs,Roah Hits,Lang Hits,Innings
1,2024-04-22,Roah,Roah,Lang,Super Sluggers,Vanilla Gorillas,Wrigley Field,1:05,All-Star,All-Star,8,4,12,11,10
2,2024-04-22,Roah,Lang,Roah,Super Sluggers,Vanilla Gorillas,Kingdome,1:00,All-Star,All-Star,10,5,12,9,9
3,2024-04-19,Roah,Lang,Roah,Super Sluggers,Vanilla Gorillas,Oakland Coliseum,1:05,All-Star,All-Star,8,6,9,11,9
4,2024-04-11,Lang,Lang,Roah,Super Sluggers,Vanilla Gorillas,The Sandlot,7:00,All-Star,All-Star,0,1,3,8,8
5,2024-04-11,Lang,Roah,Lang,Super Sluggers,Vanilla Gorillas,Nationals Park,1:05,All-Star,All-Star,6,3,6,7,5
6,2024-04-12,Roah,Roah,Lang,Super Sluggers,Vanilla Gorillas,Minute Maid Park,7:00,All-Star,All-Star,2,0,5,7,7
7,2024-04-16,Roah,Lang,Roah,Super Sluggers,Vanilla Gorillas,Kingdome,7:00,All-Star,All-Star,5,4,7,12,11
8,2024-04-16,Lang,Roah,Lang,Super Sluggers,Vanilla Gorillas,Franco Park,1:05,All-Star,All-Star,7,14,8,20,9
9,2024-04-10,Roah,Roah,Lang,Super Sluggers,Vanilla Gorillas,Minute Maid Park,1:05,All-Star,All-Star,14,6,15,10,7
10,2024-04-10,Roah,Lang,Roah,Super Sluggers,Vanilla Gorillas,Kauffman Stadium,1:05,All-Star,All-Star,4,3,5,8,10
11,2024-04-07,Lang,Roah,Lang,Anteaters,Vanilla Gorillas,Dodger Stadium,1:05,All-Star,Veteran,5,6,12,8,7
12,2024-04-07,Lang,Lang,Roah,Anteaters,Vanilla Gorillas,Laughing Mountain Park,7:00,All-Star,All-Star,2,12,6,13,4
13,2024-04-08,Lang,Roah,Lang,Anteaters,Vanilla Gorillas,Chase Field,1:05,All-Star,All-Star,2,3,4,7,7
14,2024-04-08,Lang,Lang,Roah,Anteaters,Vanilla Gorillas,Oracle Park,7:00,All-Star,All-Star,1,3,6,10,7
15,2024-04-08,Lang,Roah,Lang,Anteaters,Vanilla Gorillas,Citizens Bank Park,1:00,All-Star,All-Star,3,5,9,10,9
16,2024-04-08,Roah,Roah,Lang,Super Sluggers,Vanilla Gorillas,Target Field,1:05,All-Star,All-Star,6,5,10,10,8
17,2024-04-09,Lang,Roah,Lang,Super Sluggers,Vanilla Gorillas,Costco Headquarters Park,1:05,All-Star,All-Star,11,13,14,17,7
18,2024-04-09,Lang,Lang,Roah,Super Sluggers,Vanilla Gorillas,The Sandlot,7:00,All-Star,All-Star,6,8,9,13,7
