year,team,name,PA,ab,h,doubles,triples,hr,rbi,bb,so,hbp,sf,BA,OBP,SLG,OPS
2024,Lang,Clemente,25,24,6,1,0,0,3,1,1,0,0,0.25,0.28,0.292,0.572
2024,Lang,Trout,70,68,33,9,2,3,12,1,3,0,1,0.485,0.486,0.809,1.295
2024,Lang,Pederson,18,18,6,1,0,2,3,0,3,0,0,0.333,0.333,0.722,1.055
2024,Lang,Jung,33,30,13,4,0,2,8,2,3,1,0,0.433,0.485,0.767,1.252
2024,Lang,Buxton,68,62,12,2,0,2,8,3,16,1,2,0.194,0.235,0.323,0.558
2024,Lang,Palmeiro,22,21,8,1,0,3,6,1,1,0,0,0.381,0.409,0.857,1.266
2024,Lang,Jeter,57,55,23,2,2,0,2,1,2,1,0,0.418,0.439,0.527,0.966
2024,Lang,Muncy,64,58,15,2,1,5,13,5,18,0,1,0.259,0.312,0.586,0.898
2024,Lang,Betts,56,52,18,2,0,3,10,0,6,1,3,0.346,0.339,0.558,0.897
2024,Lang,Posada,28,27,8,2,0,1,6,1,3,0,0,0.296,0.321,0.481,0.802
2024,Lang,O'Neill,8,7,2,1,0,0,2,0,0,0,1,0.286,0.25,0.429,0.679
2024,Lang,Tarasco,19,19,5,1,0,1,1,0,1,0,0,0.263,0.263,0.474,0.737
2024,Lang,Davis,4,4,2,1,0,0,0,0,1,0,0,0.5,0.5,0.75,1.25
2024,Lang,Santander,5,5,1,0,0,1,3,0,0,0,0,0.2,0.2,0.8,1.0
2024,Lang,Cruz,6,6,1,0,0,1,3,0,0,0,0,0.167,0.167,0.667,0.834
2024,Lang,Perez,6,6,4,0,0,1,2,0,0,0,0,0.667,0.667,1.167,1.834
2024,Lang,Suwinski,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Lang,Bohm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Lang,c-Tarasco,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Lang,Chisholm Jr.,25,25,7,2,0,1,3,0,6,0,0,0.28,0.28,0.48,0.76
2024,Lang,Mathews,18,18,8,1,0,1,3,0,0,0,0,0.444,0.444,0.667,1.111
2024,Lang,Sanchez,22,22,10,1,1,5,9,0,4,0,0,0.455,0.455,1.273,1.728
2024,Lang,Howard,11,10,2,1,0,1,2,0,4,0,1,0.2,0.182,0.6,0.782
2024,Lang,Lowell,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024,Lang,Westburg,1,1,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0
2024,Lang,Keith,6,6,2,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.666
2024,Lang,Martinez,5,4,1,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.65
2024,Lang,Holliday,3,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
2024,Lang,Smith,3,3,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334
2024,Lang,Ohtani,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
