Game ID,Date,Player,Team Status,Team Name,At Bats,Total Hits,Singles,Doubles,Triples,Home Runs,RBIs,Walks,Strikeouts,BA,OBP,SLG,OPS,runs_1,runs_2,runs_3,runs_4,runs_5,runs_6,runs_7,runs_8,runs_9,runs_10,runs_11
235604919,04/09/2024 23:05:16,Lang,Home,Vanilla Gorillas,29,13,9,0,0,4,8,2,3,0.448,0.484,0.862,1.346,0,3,1,4,0,0,0,n/a,n/a,n/a,n/a
235604919,04/09/2024 23:05:16,Roah,Away,Super Sluggers,30,9,4,3,0,2,6,1,4,0.3,0.323,0.6,0.923,0,1,0,0,0,2,3,n/a,n/a,n/a,n/a
235270491,04/09/2024 22:21:00,Roah,Home,Super Sluggers,35,14,7,0,0,7,11,0,7,0.4,0.4,1.0,1.4,0,1,5,2,0,0,3,n/a,n/a,n/a,n/a
235270491,04/09/2024 22:21:00,Lang,Away,Vanilla Gorillas,34,17,8,4,0,5,12,0,4,0.5,0.5,1.059,1.559,3,1,5,2,2,0,0,n/a,n/a,n/a,n/a
228719048,04/08/2024 21:41:59,Roah,Home,Super Sluggers,32,10,7,1,1,1,6,3,5,0.312,0.371,0.5,0.871,1,1,1,0,1,0,0,2,n/a,n/a,n/a
228719048,04/08/2024 21:41:59,Lang,Away,Vanilla Gorillas,30,10,8,1,1,0,5,1,3,0.333,0.355,0.433,0.788,3,0,0,0,0,1,0,1,n/a,n/a,n/a
224904897,04/08/2024 05:03:55,Roah,Home,Anteaters,34,9,5,1,1,2,3,0,8,0.265,0.265,0.529,0.794,0,0,1,1,0,0,0,1,0,n/a,n/a
224904897,04/08/2024 05:03:55,Lang,Away,Vanilla Gorillas,33,10,6,4,0,0,5,1,3,0.303,0.324,0.424,0.748,1,1,0,0,0,0,0,1,2,n/a,n/a
224505393,04/08/2024 04:08:15,Lang,Home,Vanilla Gorillas,24,10,7,2,0,1,3,0,2,0.417,0.417,0.625,1.042,0,3,0,0,0,0,0,n/a,n/a,n/a,n/a
224505393,04/08/2024 04:08:15,Roah,Away,Anteaters,25,6,4,1,0,1,1,2,7,0.24,0.296,0.4,0.696,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
223398867,04/08/2024 02:12:45,Roah,Home,Anteaters,25,4,1,1,0,2,2,2,2,0.16,0.222,0.44,0.662,1,0,0,0,0,1,0,n/a,n/a,n/a,n/a
223398867,04/08/2024 02:12:45,Lang,Away,Vanilla Gorillas,25,7,5,1,1,0,3,0,2,0.28,0.28,0.4,0.68,1,0,0,0,0,1,1,n/a,n/a,n/a,n/a
221228157,04/07/2024 22:46:26,Lang,Home,Vanilla Gorillas,24,13,4,3,0,6,12,2,1,0.542,0.577,1.417,1.994,3,2,4,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a
221228157,04/07/2024 22:46:26,Roah,Away,Anteaters,18,6,4,1,0,1,2,0,1,0.333,0.333,0.556,0.889,0,0,0,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a
220826865,04/07/2024 22:06:21,Roah,Home,Anteaters,30,12,9,0,1,2,5,0,5,0.4,0.4,0.667,1.067,0,0,4,1,0,0,0,n/a,n/a,n/a,n/a
220826865,04/07/2024 22:06:21,Lang,Away,Vanilla Gorillas,28,8,4,0,0,4,6,0,2,0.286,0.286,0.714,1.0,0,0,3,0,0,2,1,n/a,n/a,n/a,n/a
239132666,04/10/2024 06:31:07,Lang,Home,Vanilla Gorillas,36,8,5,2,0,1,3,4,9,0.222,0.3,0.361,0.661,0,0,0,0,0,0,0,3,0,n/a,n/a
239132666,04/10/2024 06:31:07,Roah,Away,Super Sluggers,33,5,3,1,0,1,4,3,2,0.152,0.222,0.273,0.495,0,0,0,0,0,0,0,3,1,n/a,n/a
238901960,04/10/2024 05:32:37,Roah,Home,Super Sluggers,33,15,6,3,1,5,14,2,4,0.455,0.486,1.061,1.546,0,4,5,4,0,1,0,n/a,n/a,n/a,n/a
238901960,04/10/2024 05:32:37,Lang,Away,Vanilla Gorillas,30,10,7,2,0,1,6,1,5,0.333,0.355,0.5,0.855,0,4,0,0,0,2,0,n/a,n/a,n/a,n/a
291790473,04/16/2024 20:41:07,Roah,Home,Super Sluggers,35,8,3,0,0,5,7,2,6,0.229,0.27,0.657,0.927,0,3,3,0,0,1,0,0,0,n/a,n/a
291790473,04/16/2024 20:41:07,Lang,Away,Vanilla Gorillas,42,20,12,4,1,3,14,0,4,0.476,0.476,0.833,1.31,0,3,1,0,6,0,4,0,0,n/a,n/a
288014149,04/16/2024 04:32:01,Lang,Home,Vanilla Gorillas,45,12,9,1,0,2,4,2,6,0.267,0.298,0.422,0.72,0,1,0,0,0,0,0,0,1,n/a,n/a
288014149,04/16/2024 04:32:01,Roah,Away,Super Sluggers,40,7,4,0,0,3,5,4,13,0.175,0.25,0.4,0.65,0,0,2,1,0,0,0,0,2,n/a,n/a
253289180,04/12/2024 05:44:02,Roah,Home,Super Sluggers,22,5,3,0,0,2,2,0,5,0.227,0.227,0.5,0.727,0,0,1,1,0,0,0,n/a,n/a,n/a,n/a
253289180,04/12/2024 05:44:02,Lang,Away,Vanilla Gorillas,27,7,7,0,0,0,0,0,1,0.259,0.259,0.259,0.519,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
249054369,04/11/2024 21:35:57,Roah,Home,Super Sluggers,17,6,3,2,0,1,6,1,2,0.353,0.389,0.647,1.036,2,0,0,0,4,n/a,n/a,n/a,n/a,n/a,n/a
249054369,04/11/2024 21:35:57,Lang,Away,Vanilla Gorillas,21,7,5,2,0,0,3,2,1,0.333,0.391,0.429,0.82,0,0,0,1,2,n/a,n/a,n/a,n/a,n/a,n/a
